pair,link,level,track,emo,conf,angry
con_010_pro_010,L4_sep,no,spk1,happy,0.998,0.0
con_010_pro_010,L4_sep,no,spk2,happy,0.861,0.0
con_011_pro_011,L4_sep,no,spk1,happy,0.977,0.0
con_011_pro_011,L4_sep,no,spk2,happy,0.523,0.407
con_001_pro_001,L4_sep,light,spk1,happy,1.0,0.0
con_001_pro_001,L4_sep,light,spk2,happy,0.986,0.0
con_002_pro_002,L4_sep,light,spk1,happy,1.0,0.0
con_002_pro_002,L4_sep,light,spk2,fearful,0.791,0.0
con_003_pro_003,L4_sep,light,spk1,happy,0.999,0.0
con_003_pro_003,L4_sep,light,spk2,fearful,0.851,0.002
con_004_pro_004,L4_sep,light,spk1,sad,0.616,0.093
con_004_pro_004,L4_sep,light,spk2,happy,0.999,0.0
con_005_pro_005,L4_sep,light,spk1,angry,0.404,0.404
con_005_pro_005,L4_sep,light,spk2,happy,0.635,0.327
con_006_pro_006,L4_sep,light,spk1,happy,0.946,0.045
con_006_pro_006,L4_sep,light,spk2,angry,0.395,0.395
con_007_pro_007,L4_sep,light,spk1,angry,0.686,0.686
con_007_pro_007,L4_sep,light,spk2,happy,1.0,0.0
con_008_pro_008,L4_sep,light,spk1,happy,1.0,0.0
con_008_pro_008,L4_sep,light,spk2,happy,0.93,0.042
con_009_pro_009,L4_sep,light,spk1,happy,0.995,0.0
con_009_pro_009,L4_sep,light,spk2,happy,1.0,0.0
con_010_pro_010,L4_sep,light,spk1,happy,0.555,0.0
con_010_pro_010,L4_sep,light,spk2,happy,0.988,0.0
con_011_pro_011,L4_sep,light,spk1,happy,0.99,0.0
con_011_pro_011,L4_sep,light,spk2,<unk>,0.498,0.112
con_001_pro_001,L4_sep,heavy,spk1,happy,0.861,0.113
con_001_pro_001,L4_sep,heavy,spk2,happy,1.0,0.0
con_002_pro_002,L4_sep,heavy,spk1,happy,1.0,0.0
con_002_pro_002,L4_sep,heavy,spk2,fearful,0.538,0.006
con_003_pro_003,L4_sep,heavy,spk1,surprised,0.769,0.016
con_003_pro_003,L4_sep,heavy,spk2,happy,0.997,0.002
con_004_pro_004,L4_sep,heavy,spk1,happy,0.994,0.0
con_004_pro_004,L4_sep,heavy,spk2,happy,0.997,0.002
con_005_pro_005,L4_sep,heavy,spk1,fearful,0.508,0.104
con_005_pro_005,L4_sep,heavy,spk2,happy,0.817,0.059
con_006_pro_006,L4_sep,heavy,spk1,happy,0.991,0.001
con_006_pro_006,L4_sep,heavy,spk2,happy,0.698,0.089
con_007_pro_007,L4_sep,heavy,spk1,angry,0.481,0.481
con_007_pro_007,L4_sep,heavy,spk2,sad,0.502,0.015
con_008_pro_008,L4_sep,heavy,spk1,angry,0.89,0.89
con_008_pro_008,L4_sep,heavy,spk2,happy,0.994,0.002
con_009_pro_009,L4_sep,heavy,spk1,happy,0.998,0.001
con_009_pro_009,L4_sep,heavy,spk2,happy,1.0,0.0
con_010_pro_010,L4_sep,heavy,spk1,happy,0.785,0.002
con_010_pro_010,L4_sep,heavy,spk2,happy,0.993,0.0
con_011_pro_011,L4_sep,heavy,spk1,happy,0.933,0.0
con_011_pro_011,L4_sep,heavy,spk2,happy,0.48,0.438
