method,tag,file,audio_s,proc_s,rtf
specsub,white_5dB,con_001.wav,3.77,0.10,0.027
specsub,white_5dB,con_002.wav,2.92,0.08,0.027
specsub,white_5dB,con_003.wav,1.90,0.04,0.021
specsub,white_5dB,con_004.wav,1.90,0.07,0.036
specsub,white_5dB,con_005.wav,2.15,0.06,0.027
specsub,white_5dB,con_006.wav,2.15,0.06,0.027
specsub,white_5dB,con_007.wav,1.56,0.06,0.041
specsub,white_5dB,con_008.wav,1.64,0.04,0.022
specsub,white_5dB,con_009.wav,1.39,0.05,0.035
specsub,white_5dB,con_010.wav,2.41,0.08,0.034
specsub,white_5dB,con_011.wav,3.60,0.10,0.027
specsub,white_5dB,pro_001.wav,3.09,0.09,0.029
specsub,white_5dB,pro_002.wav,1.30,0.05,0.041
specsub,white_5dB,pro_003.wav,2.58,0.08,0.029
specsub,white_5dB,pro_004.wav,4.46,0.08,0.017
specsub,white_5dB,pro_005.wav,2.32,0.07,0.030
specsub,white_5dB,pro_006.wav,2.07,0.07,0.034
specsub,white_5dB,pro_007.wav,2.58,0.06,0.023
specsub,white_5dB,pro_008.wav,2.58,0.07,0.028
specsub,white_5dB,pro_009.wav,3.26,0.08,0.026
specsub,white_5dB,pro_010.wav,3.01,0.08,0.026
specsub,white_5dB,pro_011.wav,3.01,0.08,0.027
specsub,white_5dB,pro_012.wav,2.07,0.08,0.036
specsub,white_5dB,pro_013.wav,2.07,0.07,0.036
specsub,white_5dB,pro_014.wav,1.73,0.05,0.030
specsub,white_5dB,pro_015.wav,1.21,0.06,0.047
frcrn,white_5dB,con_001.wav,3.77,1.07,0.283
frcrn,white_5dB,con_002.wav,2.92,0.29,0.099
frcrn,white_5dB,con_003.wav,1.90,0.24,0.128
frcrn,white_5dB,con_004.wav,1.90,0.17,0.091
frcrn,white_5dB,con_005.wav,2.15,0.28,0.129
frcrn,white_5dB,con_006.wav,2.15,0.27,0.125
frcrn,white_5dB,con_007.wav,1.56,0.28,0.180
frcrn,white_5dB,con_008.wav,1.64,0.26,0.156
frcrn,white_5dB,con_009.wav,1.39,0.25,0.178
frcrn,white_5dB,con_010.wav,2.41,0.31,0.129
frcrn,white_5dB,con_011.wav,3.60,0.35,0.097
frcrn,white_5dB,pro_001.wav,3.09,0.31,0.100
frcrn,white_5dB,pro_002.wav,1.30,0.26,0.197
frcrn,white_5dB,pro_003.wav,2.58,0.31,0.119
frcrn,white_5dB,pro_004.wav,4.46,0.35,0.078
frcrn,white_5dB,pro_005.wav,2.32,0.30,0.130
frcrn,white_5dB,pro_006.wav,2.07,0.26,0.126
frcrn,white_5dB,pro_007.wav,2.58,0.28,0.109
frcrn,white_5dB,pro_008.wav,2.58,0.27,0.106
frcrn,white_5dB,pro_009.wav,3.26,0.30,0.091
frcrn,white_5dB,pro_010.wav,3.01,0.32,0.105
frcrn,white_5dB,pro_011.wav,3.01,0.30,0.100
frcrn,white_5dB,pro_012.wav,2.07,0.26,0.128
frcrn,white_5dB,pro_013.wav,2.07,0.23,0.109
frcrn,white_5dB,pro_014.wav,1.73,0.23,0.134
frcrn,white_5dB,pro_015.wav,1.21,0.26,0.211
specsub,clean,con_001.wav,3.77,0.04,0.012
specsub,clean,con_002.wav,2.92,0.04,0.014
specsub,clean,con_003.wav,1.90,0.03,0.016
specsub,clean,con_004.wav,1.90,0.04,0.020
specsub,clean,con_005.wav,2.15,0.04,0.017
specsub,clean,con_006.wav,2.15,0.03,0.016
specsub,clean,con_007.wav,1.56,0.03,0.021
specsub,clean,con_008.wav,1.64,0.03,0.018
specsub,clean,con_009.wav,1.39,0.02,0.017
specsub,clean,con_010.wav,2.41,0.04,0.017
specsub,clean,con_011.wav,3.60,0.05,0.015
specsub,clean,pro_001.wav,3.09,0.05,0.015
specsub,clean,pro_002.wav,1.30,0.03,0.024
specsub,clean,pro_003.wav,2.58,0.04,0.015
specsub,clean,pro_004.wav,4.46,0.05,0.012
specsub,clean,pro_005.wav,2.32,0.04,0.017
specsub,clean,pro_006.wav,2.07,0.04,0.021
specsub,clean,pro_007.wav,2.58,0.04,0.015
specsub,clean,pro_008.wav,2.58,0.03,0.014
specsub,clean,pro_009.wav,3.26,0.04,0.012
specsub,clean,pro_010.wav,3.01,0.04,0.013
specsub,clean,pro_011.wav,3.01,0.05,0.015
specsub,clean,pro_012.wav,2.07,0.04,0.019
specsub,clean,pro_013.wav,2.07,0.03,0.017
specsub,clean,pro_014.wav,1.73,0.03,0.016
specsub,clean,pro_015.wav,1.21,0.03,0.022
specsub,white_15dB,con_001.wav,3.77,0.04,0.011
specsub,white_15dB,con_002.wav,2.92,0.03,0.011
specsub,white_15dB,con_003.wav,1.90,0.03,0.015
specsub,white_15dB,con_004.wav,1.90,0.03,0.017
specsub,white_15dB,con_005.wav,2.15,0.03,0.014
specsub,white_15dB,con_006.wav,2.15,0.03,0.013
specsub,white_15dB,con_007.wav,1.56,0.03,0.019
specsub,white_15dB,con_008.wav,1.64,0.03,0.018
specsub,white_15dB,con_009.wav,1.39,0.03,0.020
specsub,white_15dB,con_010.wav,2.41,0.03,0.014
specsub,white_15dB,con_011.wav,3.60,0.04,0.011
specsub,white_15dB,pro_001.wav,3.09,0.04,0.012
specsub,white_15dB,pro_002.wav,1.30,0.03,0.024
specsub,white_15dB,pro_003.wav,2.58,0.04,0.016
specsub,white_15dB,pro_004.wav,4.46,0.06,0.013
specsub,white_15dB,pro_005.wav,2.32,0.04,0.017
specsub,white_15dB,pro_006.wav,2.07,0.03,0.016
specsub,white_15dB,pro_007.wav,2.58,0.04,0.014
specsub,white_15dB,pro_008.wav,2.58,0.03,0.013
specsub,white_15dB,pro_009.wav,3.26,0.04,0.011
specsub,white_15dB,pro_010.wav,3.01,0.04,0.013
specsub,white_15dB,pro_011.wav,3.01,0.04,0.013
specsub,white_15dB,pro_012.wav,2.07,0.03,0.015
specsub,white_15dB,pro_013.wav,2.07,0.03,0.015
specsub,white_15dB,pro_014.wav,1.73,0.03,0.020
specsub,white_15dB,pro_015.wav,1.21,0.03,0.021
specsub,white_0dB,con_001.wav,3.77,0.05,0.013
specsub,white_0dB,con_002.wav,2.92,0.04,0.013
specsub,white_0dB,con_003.wav,1.90,0.03,0.016
specsub,white_0dB,con_004.wav,1.90,0.03,0.016
specsub,white_0dB,con_005.wav,2.15,0.03,0.015
specsub,white_0dB,con_006.wav,2.15,0.03,0.015
specsub,white_0dB,con_007.wav,1.56,0.03,0.018
specsub,white_0dB,con_008.wav,1.64,0.03,0.018
specsub,white_0dB,con_009.wav,1.39,0.03,0.021
specsub,white_0dB,con_010.wav,2.41,0.03,0.014
specsub,white_0dB,con_011.wav,3.60,0.04,0.011
specsub,white_0dB,pro_001.wav,3.09,0.04,0.013
specsub,white_0dB,pro_002.wav,1.30,0.03,0.020
specsub,white_0dB,pro_003.wav,2.58,0.04,0.014
specsub,white_0dB,pro_004.wav,4.46,0.05,0.012
specsub,white_0dB,pro_005.wav,2.32,0.04,0.017
specsub,white_0dB,pro_006.wav,2.07,0.03,0.015
specsub,white_0dB,pro_007.wav,2.58,0.04,0.015
specsub,white_0dB,pro_008.wav,2.58,0.03,0.013
specsub,white_0dB,pro_009.wav,3.26,0.04,0.014
specsub,white_0dB,pro_010.wav,3.01,0.04,0.012
specsub,white_0dB,pro_011.wav,3.01,0.04,0.012
specsub,white_0dB,pro_012.wav,2.07,0.03,0.015
specsub,white_0dB,pro_013.wav,2.07,0.03,0.013
specsub,white_0dB,pro_014.wav,1.73,0.03,0.015
specsub,white_0dB,pro_015.wav,1.21,0.02,0.019
specsub,babble_15dB,con_001.wav,3.77,0.05,0.013
specsub,babble_15dB,con_002.wav,2.92,0.04,0.013
specsub,babble_15dB,con_003.wav,1.90,0.03,0.017
specsub,babble_15dB,con_004.wav,1.90,0.03,0.016
specsub,babble_15dB,con_005.wav,2.15,0.03,0.015
specsub,babble_15dB,con_006.wav,2.15,0.03,0.016
specsub,babble_15dB,con_007.wav,1.56,0.03,0.019
specsub,babble_15dB,con_008.wav,1.64,0.03,0.018
specsub,babble_15dB,con_009.wav,1.39,0.03,0.025
specsub,babble_15dB,con_010.wav,2.41,0.04,0.017
specsub,babble_15dB,con_011.wav,3.60,0.04,0.012
specsub,babble_15dB,pro_001.wav,3.09,0.04,0.013
specsub,babble_15dB,pro_002.wav,1.30,0.02,0.019
specsub,babble_15dB,pro_003.wav,2.58,0.03,0.013
specsub,babble_15dB,pro_004.wav,4.46,0.05,0.012
specsub,babble_15dB,pro_005.wav,2.32,0.04,0.017
specsub,babble_15dB,pro_006.wav,2.07,0.03,0.016
specsub,babble_15dB,pro_007.wav,2.58,0.03,0.013
specsub,babble_15dB,pro_008.wav,2.58,0.03,0.013
specsub,babble_15dB,pro_009.wav,3.26,0.04,0.012
specsub,babble_15dB,pro_010.wav,3.01,0.04,0.013
specsub,babble_15dB,pro_011.wav,3.01,0.04,0.013
specsub,babble_15dB,pro_012.wav,2.07,0.03,0.015
specsub,babble_15dB,pro_013.wav,2.07,0.03,0.016
specsub,babble_15dB,pro_014.wav,1.73,0.03,0.017
specsub,babble_15dB,pro_015.wav,1.21,0.03,0.022
specsub,babble_5dB,con_001.wav,3.77,0.04,0.011
specsub,babble_5dB,con_002.wav,2.92,0.03,0.012
specsub,babble_5dB,con_003.wav,1.90,0.03,0.014
specsub,babble_5dB,con_004.wav,1.90,0.03,0.013
specsub,babble_5dB,con_005.wav,2.15,0.03,0.014
specsub,babble_5dB,con_006.wav,2.15,0.03,0.015
specsub,babble_5dB,con_007.wav,1.56,0.03,0.019
specsub,babble_5dB,con_008.wav,1.64,0.03,0.017
specsub,babble_5dB,con_009.wav,1.39,0.03,0.020
specsub,babble_5dB,con_010.wav,2.41,0.03,0.014
specsub,babble_5dB,con_011.wav,3.60,0.04,0.011
specsub,babble_5dB,pro_001.wav,3.09,0.04,0.012
specsub,babble_5dB,pro_002.wav,1.30,0.03,0.024
specsub,babble_5dB,pro_003.wav,2.58,0.04,0.017
specsub,babble_5dB,pro_004.wav,4.46,0.05,0.012
specsub,babble_5dB,pro_005.wav,2.32,0.03,0.014
specsub,babble_5dB,pro_006.wav,2.07,0.03,0.016
specsub,babble_5dB,pro_007.wav,2.58,0.04,0.016
specsub,babble_5dB,pro_008.wav,2.58,0.04,0.014
specsub,babble_5dB,pro_009.wav,3.26,0.04,0.012
specsub,babble_5dB,pro_010.wav,3.01,0.04,0.012
specsub,babble_5dB,pro_011.wav,3.01,0.04,0.013
specsub,babble_5dB,pro_012.wav,2.07,0.03,0.015
specsub,babble_5dB,pro_013.wav,2.07,0.03,0.015
specsub,babble_5dB,pro_014.wav,1.73,0.03,0.018
specsub,babble_5dB,pro_015.wav,1.21,0.03,0.022
specsub,babble_0dB,con_001.wav,3.77,0.04,0.012
specsub,babble_0dB,con_002.wav,2.92,0.04,0.012
specsub,babble_0dB,con_003.wav,1.90,0.03,0.016
specsub,babble_0dB,con_004.wav,1.90,0.03,0.015
specsub,babble_0dB,con_005.wav,2.15,0.03,0.014
specsub,babble_0dB,con_006.wav,2.15,0.03,0.013
specsub,babble_0dB,con_007.wav,1.56,0.03,0.017
specsub,babble_0dB,con_008.wav,1.64,0.03,0.015
specsub,babble_0dB,con_009.wav,1.39,0.02,0.018
specsub,babble_0dB,con_010.wav,2.41,0.03,0.012
specsub,babble_0dB,con_011.wav,3.60,0.04,0.010
specsub,babble_0dB,pro_001.wav,3.09,0.04,0.011
specsub,babble_0dB,pro_002.wav,1.30,0.02,0.019
specsub,babble_0dB,pro_003.wav,2.58,0.03,0.013
specsub,babble_0dB,pro_004.wav,4.46,0.05,0.011
specsub,babble_0dB,pro_005.wav,2.32,0.03,0.014
specsub,babble_0dB,pro_006.wav,2.07,0.04,0.020
specsub,babble_0dB,pro_007.wav,2.58,0.04,0.015
specsub,babble_0dB,pro_008.wav,2.58,0.04,0.014
specsub,babble_0dB,pro_009.wav,3.26,0.05,0.015
specsub,babble_0dB,pro_010.wav,3.01,0.04,0.015
specsub,babble_0dB,pro_011.wav,3.01,0.05,0.018
specsub,babble_0dB,pro_012.wav,2.07,0.03,0.016
specsub,babble_0dB,pro_013.wav,2.07,0.04,0.019
specsub,babble_0dB,pro_014.wav,1.73,0.04,0.023
specsub,babble_0dB,pro_015.wav,1.21,0.03,0.026
frcrn,clean,con_001.wav,3.77,0.91,0.241
frcrn,clean,con_002.wav,2.92,0.31,0.107
frcrn,clean,con_003.wav,1.90,0.32,0.166
frcrn,clean,con_004.wav,1.90,0.26,0.138
frcrn,clean,con_005.wav,2.15,0.31,0.146
frcrn,clean,con_006.wav,2.15,0.28,0.131
frcrn,clean,con_007.wav,1.56,0.24,0.156
frcrn,clean,con_008.wav,1.64,0.26,0.159
frcrn,clean,con_009.wav,1.39,0.27,0.194
frcrn,clean,con_010.wav,2.41,0.30,0.126
frcrn,clean,con_011.wav,3.60,0.28,0.078
frcrn,clean,pro_001.wav,3.09,0.25,0.082
frcrn,clean,pro_002.wav,1.30,0.25,0.195
frcrn,clean,pro_003.wav,2.58,0.29,0.114
frcrn,clean,pro_004.wav,4.46,0.36,0.082
frcrn,clean,pro_005.wav,2.32,0.32,0.136
frcrn,clean,pro_006.wav,2.07,0.23,0.110
frcrn,clean,pro_007.wav,2.58,0.28,0.108
frcrn,clean,pro_008.wav,2.58,0.28,0.107
frcrn,clean,pro_009.wav,3.26,0.29,0.089
frcrn,clean,pro_010.wav,3.01,0.29,0.097
frcrn,clean,pro_011.wav,3.01,0.30,0.100
frcrn,clean,pro_012.wav,2.07,0.27,0.133
frcrn,clean,pro_013.wav,2.07,0.27,0.131
frcrn,clean,pro_014.wav,1.73,0.26,0.151
frcrn,clean,pro_015.wav,1.21,0.24,0.201
frcrn,white_15dB,con_001.wav,3.77,0.93,0.245
frcrn,white_15dB,con_002.wav,2.92,0.26,0.090
frcrn,white_15dB,con_003.wav,1.90,0.32,0.169
frcrn,white_15dB,con_004.wav,1.90,0.24,0.124
frcrn,white_15dB,con_005.wav,2.15,0.29,0.136
frcrn,white_15dB,con_006.wav,2.15,0.29,0.132
frcrn,white_15dB,con_007.wav,1.56,0.31,0.197
frcrn,white_15dB,con_008.wav,1.64,0.26,0.158
frcrn,white_15dB,con_009.wav,1.39,0.23,0.164
frcrn,white_15dB,con_010.wav,2.41,0.33,0.136
frcrn,white_15dB,con_011.wav,3.60,0.35,0.098
frcrn,white_15dB,pro_001.wav,3.09,0.33,0.106
frcrn,white_15dB,pro_002.wav,1.30,0.27,0.204
frcrn,white_15dB,pro_003.wav,2.58,0.31,0.119
frcrn,white_15dB,pro_004.wav,4.46,0.37,0.082
frcrn,white_15dB,pro_005.wav,2.32,0.31,0.134
frcrn,white_15dB,pro_006.wav,2.07,0.31,0.151
frcrn,white_15dB,pro_007.wav,2.58,0.26,0.102
frcrn,white_15dB,pro_008.wav,2.58,0.22,0.087
frcrn,white_15dB,pro_009.wav,3.26,0.32,0.098
frcrn,white_15dB,pro_010.wav,3.01,0.30,0.100
frcrn,white_15dB,pro_011.wav,3.01,0.28,0.094
frcrn,white_15dB,pro_012.wav,2.07,0.27,0.131
frcrn,white_15dB,pro_013.wav,2.07,0.24,0.114
frcrn,white_15dB,pro_014.wav,1.73,0.24,0.141
frcrn,white_15dB,pro_015.wav,1.21,0.24,0.199
frcrn,white_0dB,con_001.wav,3.77,0.69,0.184
frcrn,white_0dB,con_002.wav,2.92,0.25,0.087
frcrn,white_0dB,con_003.wav,1.90,0.18,0.097
frcrn,white_0dB,con_004.wav,1.90,0.14,0.071
frcrn,white_0dB,con_005.wav,2.15,0.20,0.091
frcrn,white_0dB,con_006.wav,2.15,0.18,0.082
frcrn,white_0dB,con_007.wav,1.56,0.13,0.081
frcrn,white_0dB,con_008.wav,1.64,0.11,0.065
frcrn,white_0dB,con_009.wav,1.39,0.11,0.079
frcrn,white_0dB,con_010.wav,2.41,0.19,0.079
frcrn,white_0dB,con_011.wav,3.60,0.26,0.072
frcrn,white_0dB,pro_001.wav,3.09,0.25,0.080
frcrn,white_0dB,pro_002.wav,1.30,0.11,0.085
frcrn,white_0dB,pro_003.wav,2.58,0.19,0.075
frcrn,white_0dB,pro_004.wav,4.46,0.32,0.071
frcrn,white_0dB,pro_005.wav,2.32,0.20,0.084
frcrn,white_0dB,pro_006.wav,2.07,0.17,0.084
frcrn,white_0dB,pro_007.wav,2.58,0.18,0.071
frcrn,white_0dB,pro_008.wav,2.58,0.18,0.070
frcrn,white_0dB,pro_009.wav,3.26,0.21,0.064
frcrn,white_0dB,pro_010.wav,3.01,0.24,0.079
frcrn,white_0dB,pro_011.wav,3.01,0.23,0.076
frcrn,white_0dB,pro_012.wav,2.07,0.17,0.081
frcrn,white_0dB,pro_013.wav,2.07,0.17,0.082
frcrn,white_0dB,pro_014.wav,1.73,0.20,0.117
frcrn,white_0dB,pro_015.wav,1.21,0.13,0.104
frcrn,babble_15dB,con_001.wav,3.77,0.62,0.165
frcrn,babble_15dB,con_002.wav,2.92,0.22,0.074
frcrn,babble_15dB,con_003.wav,1.90,0.18,0.093
frcrn,babble_15dB,con_004.wav,1.90,0.15,0.078
frcrn,babble_15dB,con_005.wav,2.15,0.19,0.089
frcrn,babble_15dB,con_006.wav,2.15,0.18,0.085
frcrn,babble_15dB,con_007.wav,1.56,0.13,0.081
frcrn,babble_15dB,con_008.wav,1.64,0.11,0.068
frcrn,babble_15dB,con_009.wav,1.39,0.10,0.074
frcrn,babble_15dB,con_010.wav,2.41,0.20,0.084
frcrn,babble_15dB,con_011.wav,3.60,0.27,0.075
frcrn,babble_15dB,pro_001.wav,3.09,0.25,0.080
frcrn,babble_15dB,pro_002.wav,1.30,0.12,0.093
frcrn,babble_15dB,pro_003.wav,2.58,0.19,0.075
frcrn,babble_15dB,pro_004.wav,4.46,0.32,0.071
frcrn,babble_15dB,pro_005.wav,2.32,0.19,0.081
frcrn,babble_15dB,pro_006.wav,2.07,0.19,0.092
frcrn,babble_15dB,pro_007.wav,2.58,0.18,0.071
frcrn,babble_15dB,pro_008.wav,2.58,0.19,0.072
frcrn,babble_15dB,pro_009.wav,3.26,0.22,0.067
frcrn,babble_15dB,pro_010.wav,3.01,0.24,0.081
frcrn,babble_15dB,pro_011.wav,3.01,0.23,0.077
frcrn,babble_15dB,pro_012.wav,2.07,0.17,0.083
frcrn,babble_15dB,pro_013.wav,2.07,0.17,0.082
frcrn,babble_15dB,pro_014.wav,1.73,0.15,0.085
frcrn,babble_15dB,pro_015.wav,1.21,0.13,0.103
frcrn,babble_5dB,con_001.wav,3.77,0.67,0.177
frcrn,babble_5dB,con_002.wav,2.92,0.21,0.072
frcrn,babble_5dB,con_003.wav,1.90,0.17,0.090
frcrn,babble_5dB,con_004.wav,1.90,0.15,0.078
frcrn,babble_5dB,con_005.wav,2.15,0.19,0.088
frcrn,babble_5dB,con_006.wav,2.15,0.17,0.081
frcrn,babble_5dB,con_007.wav,1.56,0.13,0.087
frcrn,babble_5dB,con_008.wav,1.64,0.10,0.062
frcrn,babble_5dB,con_009.wav,1.39,0.11,0.077
frcrn,babble_5dB,con_010.wav,2.41,0.19,0.079
frcrn,babble_5dB,con_011.wav,3.60,0.26,0.072
frcrn,babble_5dB,pro_001.wav,3.09,0.24,0.078
frcrn,babble_5dB,pro_002.wav,1.30,0.11,0.087
frcrn,babble_5dB,pro_003.wav,2.58,0.20,0.077
frcrn,babble_5dB,pro_004.wav,4.46,0.31,0.070
frcrn,babble_5dB,pro_005.wav,2.32,0.19,0.083
frcrn,babble_5dB,pro_006.wav,2.07,0.18,0.089
frcrn,babble_5dB,pro_007.wav,2.58,0.19,0.073
frcrn,babble_5dB,pro_008.wav,2.58,0.18,0.071
frcrn,babble_5dB,pro_009.wav,3.26,0.20,0.063
frcrn,babble_5dB,pro_010.wav,3.01,0.24,0.080
frcrn,babble_5dB,pro_011.wav,3.01,0.23,0.077
frcrn,babble_5dB,pro_012.wav,2.07,0.18,0.085
frcrn,babble_5dB,pro_013.wav,2.07,0.17,0.080
frcrn,babble_5dB,pro_014.wav,1.73,0.11,0.062
frcrn,babble_5dB,pro_015.wav,1.21,0.11,0.091
frcrn,babble_0dB,con_001.wav,3.77,0.58,0.154
frcrn,babble_0dB,con_002.wav,2.92,0.21,0.071
frcrn,babble_0dB,con_003.wav,1.90,0.16,0.085
frcrn,babble_0dB,con_004.wav,1.90,0.14,0.073
frcrn,babble_0dB,con_005.wav,2.15,0.22,0.101
frcrn,babble_0dB,con_006.wav,2.15,0.18,0.083
frcrn,babble_0dB,con_007.wav,1.56,0.13,0.081
frcrn,babble_0dB,con_008.wav,1.64,0.10,0.061
frcrn,babble_0dB,con_009.wav,1.39,0.11,0.076
frcrn,babble_0dB,con_010.wav,2.41,0.19,0.079
frcrn,babble_0dB,con_011.wav,3.60,0.26,0.072
frcrn,babble_0dB,pro_001.wav,3.09,0.24,0.078
frcrn,babble_0dB,pro_002.wav,1.30,0.14,0.105
frcrn,babble_0dB,pro_003.wav,2.58,0.19,0.074
frcrn,babble_0dB,pro_004.wav,4.46,0.32,0.071
frcrn,babble_0dB,pro_005.wav,2.32,0.20,0.085
frcrn,babble_0dB,pro_006.wav,2.07,0.18,0.085
frcrn,babble_0dB,pro_007.wav,2.58,0.18,0.070
frcrn,babble_0dB,pro_008.wav,2.58,0.19,0.072
frcrn,babble_0dB,pro_009.wav,3.26,0.20,0.061
frcrn,babble_0dB,pro_010.wav,3.01,0.24,0.081
frcrn,babble_0dB,pro_011.wav,3.01,0.23,0.076
frcrn,babble_0dB,pro_012.wav,2.07,0.17,0.084
frcrn,babble_0dB,pro_013.wav,2.07,0.18,0.085
frcrn,babble_0dB,pro_014.wav,1.73,0.10,0.058
frcrn,babble_0dB,pro_015.wav,1.21,0.11,0.093
specsub,exp2_L2,babble_0dB/heavy/con_001_pro_001.wav,4.39,0.05,0.011
specsub,exp2_L2,babble_0dB/heavy/con_002_pro_002.wav,3.18,0.03,0.011
specsub,exp2_L2,babble_0dB/heavy/con_003_pro_003.wav,2.96,0.03,0.011
specsub,exp2_L2,babble_0dB/heavy/con_004_pro_004.wav,4.84,0.05,0.010
specsub,exp2_L2,babble_0dB/heavy/con_005_pro_005.wav,2.75,0.03,0.012
specsub,exp2_L2,babble_0dB/heavy/con_006_pro_006.wav,2.57,0.03,0.012
specsub,exp2_L2,babble_0dB/heavy/con_007_pro_007.wav,2.89,0.03,0.012
specsub,exp2_L2,babble_0dB/heavy/con_008_pro_008.wav,2.91,0.03,0.012
specsub,exp2_L2,babble_0dB/heavy/con_009_pro_009.wav,3.54,0.04,0.011
specsub,exp2_L2,babble_0dB/heavy/con_010_pro_010.wav,3.49,0.05,0.014
specsub,exp2_L2,babble_0dB/heavy/con_011_pro_011.wav,4.21,0.05,0.012
specsub,exp2_L2,babble_0dB/light/con_001_pro_001.wav,5.94,0.06,0.010
specsub,exp2_L2,babble_0dB/light/con_002_pro_002.wav,3.83,0.04,0.010
specsub,exp2_L2,babble_0dB/light/con_003_pro_003.wav,3.91,0.04,0.010
specsub,exp2_L2,babble_0dB/light/con_004_pro_004.wav,5.79,0.05,0.009
specsub,exp2_L2,babble_0dB/light/con_005_pro_005.wav,3.83,0.04,0.009
specsub,exp2_L2,babble_0dB/light/con_006_pro_006.wav,3.60,0.04,0.010
specsub,exp2_L2,babble_0dB/light/con_007_pro_007.wav,3.67,0.04,0.010
specsub,exp2_L2,babble_0dB/light/con_008_pro_008.wav,3.73,0.04,0.010
specsub,exp2_L2,babble_0dB/light/con_009_pro_009.wav,4.23,0.04,0.010
specsub,exp2_L2,babble_0dB/light/con_010_pro_010.wav,4.69,0.05,0.010
specsub,exp2_L2,babble_0dB/light/con_011_pro_011.wav,5.71,0.05,0.009
specsub,exp2_L2,babble_0dB/no/con_001_pro_001.wav,6.87,0.07,0.010
specsub,exp2_L2,babble_0dB/no/con_002_pro_002.wav,4.22,0.04,0.010
specsub,exp2_L2,babble_0dB/no/con_003_pro_003.wav,4.48,0.06,0.012
specsub,exp2_L2,babble_0dB/no/con_004_pro_004.wav,6.35,0.07,0.010
specsub,exp2_L2,babble_0dB/no/con_005_pro_005.wav,4.48,0.05,0.010
specsub,exp2_L2,babble_0dB/no/con_006_pro_006.wav,4.22,0.04,0.010
specsub,exp2_L2,babble_0dB/no/con_007_pro_007.wav,4.14,0.04,0.010
specsub,exp2_L2,babble_0dB/no/con_008_pro_008.wav,4.22,0.04,0.010
specsub,exp2_L2,babble_0dB/no/con_009_pro_009.wav,4.65,0.05,0.011
specsub,exp2_L2,babble_0dB/no/con_010_pro_010.wav,5.42,0.05,0.010
specsub,exp2_L2,babble_0dB/no/con_011_pro_011.wav,6.61,0.06,0.009
specsub,exp2_L2,babble_5dB/heavy/con_001_pro_001.wav,4.39,0.04,0.010
specsub,exp2_L2,babble_5dB/heavy/con_002_pro_002.wav,3.18,0.03,0.010
specsub,exp2_L2,babble_5dB/heavy/con_003_pro_003.wav,2.96,0.03,0.011
specsub,exp2_L2,babble_5dB/heavy/con_004_pro_004.wav,4.84,0.05,0.010
specsub,exp2_L2,babble_5dB/heavy/con_005_pro_005.wav,2.75,0.03,0.011
specsub,exp2_L2,babble_5dB/heavy/con_006_pro_006.wav,2.57,0.03,0.011
specsub,exp2_L2,babble_5dB/heavy/con_007_pro_007.wav,2.89,0.03,0.011
specsub,exp2_L2,babble_5dB/heavy/con_008_pro_008.wav,2.91,0.03,0.011
specsub,exp2_L2,babble_5dB/heavy/con_009_pro_009.wav,3.54,0.03,0.009
specsub,exp2_L2,babble_5dB/heavy/con_010_pro_010.wav,3.49,0.04,0.010
specsub,exp2_L2,babble_5dB/heavy/con_011_pro_011.wav,4.21,0.04,0.009
specsub,exp2_L2,babble_5dB/light/con_001_pro_001.wav,5.94,0.05,0.009
specsub,exp2_L2,babble_5dB/light/con_002_pro_002.wav,3.83,0.03,0.009
specsub,exp2_L2,babble_5dB/light/con_003_pro_003.wav,3.91,0.04,0.010
specsub,exp2_L2,babble_5dB/light/con_004_pro_004.wav,5.79,0.06,0.010
specsub,exp2_L2,babble_5dB/light/con_005_pro_005.wav,3.83,0.04,0.010
specsub,exp2_L2,babble_5dB/light/con_006_pro_006.wav,3.60,0.04,0.010
specsub,exp2_L2,babble_5dB/light/con_007_pro_007.wav,3.67,0.03,0.009
specsub,exp2_L2,babble_5dB/light/con_008_pro_008.wav,3.73,0.04,0.010
specsub,exp2_L2,babble_5dB/light/con_009_pro_009.wav,4.23,0.04,0.010
specsub,exp2_L2,babble_5dB/light/con_010_pro_010.wav,4.69,0.04,0.009
specsub,exp2_L2,babble_5dB/light/con_011_pro_011.wav,5.71,0.05,0.009
specsub,exp2_L2,babble_5dB/no/con_001_pro_001.wav,6.87,0.06,0.008
specsub,exp2_L2,babble_5dB/no/con_002_pro_002.wav,4.22,0.04,0.009
specsub,exp2_L2,babble_5dB/no/con_003_pro_003.wav,4.48,0.04,0.010
specsub,exp2_L2,babble_5dB/no/con_004_pro_004.wav,6.35,0.05,0.008
specsub,exp2_L2,babble_5dB/no/con_005_pro_005.wav,4.48,0.04,0.010
specsub,exp2_L2,babble_5dB/no/con_006_pro_006.wav,4.22,0.04,0.010
specsub,exp2_L2,babble_5dB/no/con_007_pro_007.wav,4.14,0.04,0.009
specsub,exp2_L2,babble_5dB/no/con_008_pro_008.wav,4.22,0.04,0.009
specsub,exp2_L2,babble_5dB/no/con_009_pro_009.wav,4.65,0.05,0.011
specsub,exp2_L2,babble_5dB/no/con_010_pro_010.wav,5.42,0.06,0.010
specsub,exp2_L2,babble_5dB/no/con_011_pro_011.wav,6.61,0.06,0.009
specsub,exp2_L2,clean/heavy/con_001_pro_001.wav,4.39,0.04,0.010
